socrates
one
would
said
say
may
good
shall
true
thing
man
u
must
yes
let
like
know
men
law
state
another
stranger
god
also
certainly
soul
nature
make
art
first
think
many
way
mean
athenian
theaetetus
whether
time
well
cleinias
part
two
life
word
knowledge
evil
name
body
pleasure
others
great
ought
friend
right
take
every
better
see
place
young
cannot
either
yet
virtue
sort
give
mind
city
saying
tell
never
come
opinion
reason
whole
made
answer
question
case
therefore
truth
always
person
protarchus
go
upon
alcibiades
love
power
far
best
suppose
order
anything
matter
quite
kind
manner
desire
class
ask
nothing
use
justice
neither
wisdom
without
speak
child
much
even
form
might
replied
called
still
argument
could
ever
number
citizen
able
rather
son
thought
world
principle
year
among
three
work
day
greater
pain
want
away
call
view
father
le
speaking
hand
rest
legislator
opposite
agree
guardian
thus
wise
become
bad
general
greatest
clearly
present
according
woman
something
death
war
care
indeed
motion
given
judge
hermogenes
old
hear
find
consider
age
human
cause
animal
meaning
education
callicles
different
subject
youth
end
earth
point
fear
course
believe
country
understand
making
done
science
poet
likely
slave
put
already
found
honour
difficulty
action
proceed
really
truly
second
third
although
together
little
polus
surely
idea
next
lover
appear
example
else
element
common
rule
possible
injustice
eye
meno
imagine
certain
long
show
enough
remember
sense
wrong
divine
last
unjust
phaedrus
going
ruler
natural
similar
master
heard
begin
music
follow
often
people
appears
temperance
look
house
praise
admit
change
heaven
small
false
individual
quality
object
sure
plato
need
courage
wish
existence
notion
seem
difference
public
beauty
equal
court
help
noble
perhaps
pay
however
enemy
learn
ignorance
property
government
allow
term
physician
rightly
money
water
king
fire
get
live
light
fair
hold
character
return
came
speech
asked
beginning
relation
allowed
act
philosopher
sake
seen
turn
receive
set
wealth
mankind
though
interest
harmony
gorgias
letter
sight
philosophy
land
side
megillus
whatever
magistrate
dear
division
impossible
equally
homer
whereas
private
regard
parent
leave
brought
degree
health
family
perfect
unless
please
several
within
penalty
temple
happy
hippias
respect
protagoras
disease
rich
mother
boy
whose
new
ignorant
longer
bring
necessity
theodorus
since
hope
four
taken
sometimes
euthyphro
image
head
supposed
athens
discourse
becomes
worse
left
honourable
figure
beautiful
real
air
experience
lot
try
living
spirit
round
instead
generation
follows
seeing
measure
medicine
unlike
punishment
least
condition
brother
meet
seems
dead
drink
feeling
none
teacher
single
teach
enquiry
ready
rhetoric
ancient
sound
former
moment
hardly
easily
observe
possession
suffer
particular
ten
alone
admitted
explain
spoken
inferior
doubt
remain
told
necessary
full
taught
half
effect
gave
mistaken
agreed
horse
company
foot
absolute
knew
result
tale
advantage
ridiculous
regarded
known
knowing
run
aim
latter
younger
laches
discussion
wherefore
office
back
gymnastic
imitation
judgment
sophist
zeus
reply
excellent
cratylus
willing
useful
maintain
superior
habit
danger
exactly
colour
freeman
business
proper
gold
birth
determine
keep
prove
sun
described
exist
sea
punished
following
ion
free
hellene
move
race
sacrifice
process
duty
share
future
older
forth
compelled
purpose
mode
fall
previous
critias
gain
towards
carry
taking
food
proof
thinking
tyrant
affirm
received
temperate
servant
error
attempt
choose
gift
dance
constitution
pure
divided
original
strength
force
required
endeavour
pursuit
service
fancy
friendship
becoming
highest
custom
giving
lie
used
practice
generally
authority
study
concerned
fact
peace
talking
exercise
termed
passion
simple
learned
language
hearing
witness
afraid
portion
perceive
went
thousand
everything
higher
learning
account
five
pas
harm
produce
vice
probably
lead
created
home
writing
voice
shown
double
prayer
command
worthy
dare
contrary
acknowledge
hard
discovered
definition
carried
nicias
companion
arm
value
fine
serious
beloved
various
deed
mortal
especially
notbeing
political
except
song
institution
mere
warden
foolish
affection
deny
answered
posse
unable
party
courageous
consequence
military
ground
influence
offer
add
reality
happiness
deal
bodily
line
conceive
appointed
